avg_bpm,max_bpm,min_bpm,std_bpm,avg_peak_height,std_peak_height,avg_peak_distance,std_peak_distance,num_peaks,signal_std,label
47.86,59.69,41.44,2.15,655.08,22.05,1.254,0.01,7,21.04,0
55.97,65.69,48.89,3.63,695.95,19.35,1.072,0.076,9,33.95,0
42.62,51.33,35.03,6.06,530.21,20.78,1.408,0.012,6,24.5,0
51.07,58.3,40.55,4.2,654.36,13.62,1.175,0.023,7,28.04,0
49.58,59.97,42.33,4.87,564.08,22.05,1.21,0.075,7,31.57,0
58.96,69.6,55.33,1.52,548.34,28.5,1.018,0.02,10,33.4,0
46.7,56.22,37.15,4.37,646.07,26.91,1.285,0.046,7,43.66,0
55.59,59.18,44.58,4.44,587.12,29.05,1.079,0.078,10,42.76,0
48.86,56.79,41.81,3.46,669.78,24.62,1.228,0.037,8,20.62,0
43.47,49.27,35,1.74,521.58,26.19,1.38,0.045,6,25.38,0
53.12,64.07,46.5,4.42,525.76,23.5,1.13,0.012,9,20.28,0
56.55,61.1,48.77,6.41,691.7,20.94,1.061,0.032,9,22.37,0
56.92,64.83,49.34,3.21,567.38,29.22,1.054,0.029,9,23.16,0
42.65,46.31,35.91,4.86,597.77,8.64,1.407,0.044,7,23.54,0
54.6,59,50.34,3.34,677.94,17.01,1.099,0.013,8,44.05,0
47.25,55.27,35.93,3.65,586.17,6.64,1.27,0.079,6,26.25,0
43.48,52.89,35,3.43,549.55,7.8,1.38,0.056,8,29.12,0
52.62,61.31,41.42,3.74,532.85,28.5,1.14,0.029,8,43.54,0
50.94,54.32,45.32,2.61,563.97,11.52,1.178,0.048,8,34.73,0
42.79,48.33,35,1.74,695.92,21.48,1.402,0.033,7,36.32,0
53.1,56.95,44.97,5.36,617.58,10.55,1.13,0.067,9,21.78,0
51.58,59.81,45.12,5.22,689.92,13.18,1.163,0.061,7,20.84,0
47.83,51.77,36.02,2.63,641.83,29.04,1.255,0.054,8,38.2,0
44.5,51.78,38.13,3.8,638.51,9.87,1.348,0.036,8,42.92,0
54.94,59.84,46.2,6.43,554.44,16.7,1.092,0.047,8,22.83,0
58.8,65.09,51.98,5.8,647.95,28.48,1.02,0.065,8,15.94,0
